season,tea_kind,code,replication,polyphenol,FAA,Theanine,caffeine,Gallic Acid,C,GC,EGC,EC,EGCG,GCG,ECG,total_catechins,sample_label
4th,fresh leaves,T12,2,63.48889869,22.92528563,9.100831225,14.0230134,0.741893487,8.12E-02,5.783111612,14.12772448,3.117635447,21.6697743,2.438262618,4.392474385,51.61014777,2
4th,fresh leaves,T12,1,68.25620035,23.84923813,11.224499,16.11634538,0.765961632,8.12E-02,6.033445275,15.76278706,4.174058852,25.6665714,3.145615036,5.191518155,60.05516071,3
4th,fresh leaves,T12,2,67.78678849,11.66752303,10.84530654,16.28174889,0.786343954,8.11E-02,6.177742605,15.97651504,4.242109274,25.92792432,3.187891429,5.235753433,60.82906856,3
4th,fresh leaves,T18,1,120.8197872,23.24865833,9.258714397,26.90901972,1.35030024,6.43E-02,13.82445131,20.66327585,5.009459301,63.84939424,7.485123204,14.83782714,125.7338324,1
4th,fresh leaves,T18,2,119.9749122,23.13313512,9.556903737,26.48274422,1.328946563,6.39E-02,13.38453662,19.99597179,4.875911659,60.41235684,6.994268652,14.3730161,120.0999398,1
4th,fresh leaves,T18,1,124.5601199,22.6170912,9.957500299,27.49558166,1.270841841,6.82E-02,14.14431807,21.46963483,5.198764796,64.61480063,7.619478335,14.89274707,128.0079329,2
4th,fresh leaves,T18,2,108.4674025,20.97813219,9.539535775,27.02161897,1.21382995,6.35E-02,13.81640958,21.03651306,5.059796217,62.98192591,7.311427838,14.86400111,125.133536,2
4th,fresh leaves,T18,1,127.4498576,21.42745766,9.306723971,26.61282127,1.222414148,6.54E-02,14.00445524,21.24624953,5.074181635,64.38373332,7.224576126,14.82464364,126.8232532,3
4th,fresh leaves,T18,2,125.5863844,22.44388155,9.564297201,26.63283471,1.225914776,6.77E-02,14.29243003,21.58042733,5.023116467,64.73746084,7.375689013,14.85831223,127.9351422,3
4th,black tea,FS,1,33.75790706,20.20281121,6.237833466,8.58848944,1.148864742,0,0,0,0,0,0,0,0,1
