year,season,tea_kind,code,sample_label,polyphenol,FAA,Theanine,caffeine,Gallic_Acid,Catechin,GC,EGC,EC,EGCG,GCG,ECG,CG,total_catechins
108,3rd,fresh leaves,T17,3,100.805,10.61,8.155,19.425,0.89,2.15,8.835,27.115,6.065,40.135,3.96,9.095,NA,97.355
108,3rd,fresh leaves,T18,1,231.455,26.935,20.195,23.08,1.005,0.095,14.475,26.12,5.725,51,5.83,10.835,NA,114.08
108,3rd,fresh leaves,T18,2,232.765,24.395,18.095,22.175,0.885,0.09,14.175,25.895,5.695,51.75,5.985,11.08,NA,114.67
108,3rd,fresh leaves,T18,3,218.35,20.64,14.66,20.41,0.79,0.1,13.92,24.605,6.215,47.35,5.45,10.41,NA,108.05
108,3rd,fresh leaves,T20,1,85.07,12.755,9.49,13.87,0.6,1.33,8.035,28.075,5.6,32.66,3.055,5.8,NA,84.56
108,3rd,fresh leaves,T20,2,76.925,12.15,7.82,12.91,0.625,1.33,7.475,25.55,5.45,29.04,2.805,5.57,NA,77.22
108,3rd,fresh leaves,T20,3,83.865,15.77,11.94,13.64,0.51,1.015,8.255,27.44,5.525,30.75,2.99,5.335,NA,81.3
108,3rd,black tea,DP,1,34.345,8.705,1.825,13.765,2.09,0,0.63,0,0,0,0,0,NA,0.63
108,3rd,black tea,DP,2,33.34,8.305,1.83,13.555,2.05,0,0.615,0,0,0,0,0,NA,0.615
108,3rd,black tea,DP,3,35.385,8.73,1.875,13.725,2.065,0,0.63,0,0,0,0,0,NA,0.63
108,3rd,black tea,FS,1,37.92,24.915,9.395,15.93,2.18,0,0.935,0,0,0,0,0,NA,0.935
108,3rd,black tea,FS,2,38.11,26.71,10.245,16.375,2.265,0,0.99,0,0,0,0,0,NA,0.99
108,3rd,black tea,FS,3,39.09,26.165,10.745,16.825,2.295,0,1.035,0,0,0,0,0,NA,1.035
108,3rd,green tea,T8,1,55.6,33.435,25.29,19.31,3.26,0.02,0.595,29.715,4.295,60.115,5.435,9.005,NA,109.185
108,3rd,green tea,T8,2,53.475,31.565,26.085,20.12,3.49,0.01,0.575,28.81,4.075,60.195,4.65,8.83,NA,107.14
108,3rd,green tea,T8,3,59.485,32.2,25.885,20.96,3.52,0.02,0.62,31.875,4.55,67.01,5.57,9.83,NA,119.475
108,3rd,black tea,T12,1,29.975,26.245,3.17,16.98,2.15,0,13.64,0,0,0,0,0,NA,13.64
108,3rd,black tea,T12,2,30.715,27.86,3.775,16.94,2.035,0,13.805,0,0,0,0,0,NA,13.805
108,3rd,black tea,T12,3,31.56,25.9,3.265,17.515,2.26,0,14.13,0,0,0,0,0,NA,14.13
108,3rd,black tea,T17,1,46.835,17.44,4.355,21.025,2.495,0,20.615,0,0,0,0,0,NA,20.615
108,3rd,black tea,T17,2,45.595,16.345,4.4,20.805,2.475,0,19.73,0,0,0,0,0,NA,19.73
108,3rd,black tea,T17,3,45.35,15.465,4.32,20.815,2.49,0,20.425,0,0,0,0,0,NA,20.425
108,3rd,black tea,T18,1,59.27,29.93,14.14,24.405,3.13,0,18.785,0,0,0,0,0,NA,18.785
108,3rd,black tea,T18,2,58.25,30.5,13.81,24.075,3.135,0,18.26,0,0,0,0,0,NA,18.26
108,3rd,black tea,T18,3,57.8,29.725,13.96,23.785,3.13,0,15.855,0,0,0,0,0,NA,15.855
108,3rd,black tea,T20,1,37.23,17.795,3.225,15.19,1.89,0,12.31,0,0,0,0,0,NA,12.31
108,3rd,black tea,T20,2,36.995,17.09,3.235,15.195,1.93,0,12.515,0,0,0,0,0,NA,12.515
108,3rd,black tea,T20,3,36.825,16.285,3.23,15.22,1.915,0,12.45,0,0,0,0,0,NA,12.45
108,4th,fresh leaves,FS,1,77.06760625,24.72162677,13.43550367,14.87883146,0.995029685,0.0811,5.211953059,12.89734429,4.607186245,29.36176076,2.819163462,7.129297428,NA,62.10778903
108,4th,fresh leaves,FS,2,68.23178039,25.0652316,13.74472872,13.3512463,0.761639021,0.081,5.520928918,13.04384726,4.400067755,27.85476632,2.837220033,6.234971509,NA,59.97282077
108,4th,fresh leaves,FS,3,76.82216659,26.09638531,13.81218118,13.9844179,0.625728136,0.08105,5.686444141,13.80610551,4.374429521,30.53093576,3.01271788,6.640466481,NA,64.13215081
108,4th,fresh leaves,T8,1,112.8145304,22.27916744,9.46856682,21.69678132,1.069844272,0.0218,9.553058125,25.75616449,3.454407645,64.53414191,5.610060079,10.3711323,NA,119.3007932
108,4th,fresh leaves,T8,2,91.95714988,28.93729779,12.11491971,17.18756092,1.076880455,0.02085,8.376899624,22.56502722,3.08565855,49.38237842,6.050217043,8.269820935,NA,97.75084441
108,4th,fresh leaves,T8,3,111.2416385,30.40731322,13.056873,21.0183403,0.994990973,0.01815,9.310211531,24.37895405,3.316995694,62.25597532,5.499912827,9.730228661,NA,114.5104176
108,4th,fresh leaves,T12,1,62.9345632,21.72730978,8.952754532,14.32631635,0.844589826,0.0811,9.854834282,14.8323486,3.644811475,22.89848834,2.612951836,4.509692682,NA,58.434211
108,4th,fresh leaves,T12,2,61.49903719,22.79717489,9.215620126,13.83660164,0.732326797,0.08115,5.701592604,13.93953619,3.112889973,21.64019388,2.439622509,4.419052636,NA,51.33402025
108,4th,fresh leaves,T12,3,68.02149442,17.75838058,11.03490277,16.19904714,0.776152793,0.08115,6.10559394,15.86965105,4.208084063,25.79724786,3.166753233,5.213635794,NA,60.44211464
108,4th,fresh leaves,T18,1,120.3973497,23.19089673,9.407809067,26.69588197,1.339623402,0.0641,13.60449397,20.32962382,4.94268548,62.13087554,7.239695928,14.60542162,NA,122.9168861
108,4th,fresh leaves,T18,2,116.5137612,21.7976117,9.748518037,27.25860032,1.242335896,0.06585,13.98036383,21.25307395,5.129280507,63.79836327,7.465453087,14.87837409,NA,126.5707345
108,4th,fresh leaves,T18,3,126.518121,21.93566961,9.435510586,26.62282799,1.224164462,0.06655,14.14844264,21.41333843,5.048649051,64.56059708,7.30013257,14.84147794,NA,127.3791977
108,4th,black tea,FS,1,33.92734171,20.37573127,6.396991057,8.772504251,1.161373328,0,0,0,0,0,0,0,NA,0
108,4th,black tea,FS,2,34.00009162,20.99168725,6.329990415,8.961261747,1.192685517,0,0,0,0,0,0,0,NA,0
108,4th,black tea,FS,3,36.21657818,20.1669747,6.217336724,8.92940298,1.177160826,0,0,0,0,0,0,0,NA,0
108,4th,black tea,T8,1,52.08387311,31.05448922,8.752258546,11.20142916,1.810467147,0,0,0,0,0,0,0,NA,0
108,4th,black tea,T8,2,52.5461419,30.45896347,9.673063653,11.41983259,1.846516283,0,0,0,0,0,0,0,NA,0
108,4th,black tea,T8,3,46.12151969,29.78030129,9.198371742,10.71321941,1.741983358,0,0,0,0,0,0,0,NA,0
108,4th,black tea,T12,1,27.26147457,23.37976036,7.36263529,7.453772552,0.954246878,0,0,0,0,0,0,0,NA,0
108,4th,black tea,T12,2,26.12298439,23.02338341,7.780206013,7.363786714,0.951553692,0,0,0,0,0,0,0,NA,0
108,4th,black tea,T12,3,26.40050339,19.62629792,5.659518612,7.909779972,0.981756295,0,0,0,0,0,0,0,NA,0
108,4th,black tea,T18,1,68.3853549,28.01219014,12.33314486,14.45727646,1.959183176,0,0,0,0,0,0,3.730560482,NA,3.730560482
108,4th,black tea,T18,2,65.79551371,29.06620524,12.48013534,13.91184347,1.815997446,0,0,0,0,0,0,3.686618281,NA,3.686618281
108,4th,black tea,T18,3,64.07627008,28.85060256,11.73460762,13.67583485,1.804827261,0,0,0,0,0,0,3.670152299,NA,3.670152299
108,5th,fresh leaves,DP,1,85.14521125,11.44493801,3.564110202,14.55419069,1.004448901,0.710558601,10.41025173,19.81666944,3.74269077,39.58307749,3.584285853,7.651863136,NA,85.49939701
108,5th,fresh leaves,DP,2,83.24622905,9.257877571,2.764484612,13.1847531,0.912102653,0.795604912,9.426775489,19.09610173,3.919988142,40.06872851,3.82908661,7.90211644,NA,85.03840183
