year,season,date,location,cultivar,sample_label,replication,cutting_height,tea_buds_cm,leaf_number,avg_inter_node,open_plane,buds_weight_100
108,2nd,43595,11月1日,T20,1,4,57,10.3,4,2.575,1,123.5
108,2nd,43595,11月1日,T20,1,5,57,3.2,3,1.066666667,1,123.5
108,2nd,43595,11月1日,T20,1,6,57,12.6,5,2.52,1,123.5
108,2nd,43595,11月1日,T20,1,7,57,19.5,7,2.785714286,1,123.5
108,2nd,43595,11月1日,T20,1,8,57,7.6,4,1.9,1,123.5
108,2nd,43595,11月1日,T20,1,9,57,6.4,4,1.6,1,123.5
108,2nd,43595,11月1日,T20,1,10,57,10.9,5,2.18,1,123.5
108,2nd,43595,11月1日,T20,2,11,57,6.7,3,2.233333333,1,124.5
108,2nd,43595,11月1日,T20,2,12,57,12.5,5,2.5,0,124.5
108,2nd,43595,11月1日,T20,2,13,57,5.3,4,1.325,1,124.5
108,2nd,43595,11月1日,T20,2,14,57,6.1,4,1.525,0,124.5
108,2nd,43595,11月1日,T20,2,15,57,6.8,4,1.7,1,124.5
108,2nd,43595,11月1日,T20,2,16,57,9.4,4,2.35,1,124.5
108,2nd,43595,11月1日,T20,2,17,57,4.1,3,1.366666667,1,124.5
108,2nd,43595,11月1日,T20,2,18,57,2.3,3,0.766666667,1,124.5
108,2nd,43595,11月1日,T20,2,19,57,14.9,6,2.483333333,1,124.5
108,2nd,43595,11月1日,T20,2,20,57,6,3,2,1,124.5
108,2nd,43595,11月1日,T20,3,21,57,4.6,3,1.533333333,1,138.5
108,2nd,43595,11月1日,T20,3,22,57,10,5,2,1,138.5
108,2nd,43595,11月1日,T20,3,23,57,10,4,2.5,1,138.5
108,2nd,43595,11月1日,T20,3,24,57,18.8,6,3.133333333,0,138.5
108,2nd,43595,11月1日,T20,3,25,57,7.7,3,2.566666667,1,138.5
108,2nd,43595,11月1日,T20,3,26,57,6.5,3,2.166666667,1,138.5
108,2nd,43595,11月1日,T20,3,27,57,1.5,2,0.75,1,138.5
108,2nd,43595,11月1日,T20,3,28,57,4.7,3,1.566666667,1,138.5
108,2nd,43595,11月1日,T20,3,29,57,12.1,6,2.016666667,1,138.5
108,2nd,43595,11月1日,T20,3,30,57,12.8,5,2.56,1,138.5
108,2nd,43598,"9-2, 9-3",DP,3,1,60,6.8,3,2.266666667,1,127
108,2nd,43598,"9-2, 9-3",DP,3,2,60,11.5,4,2.875,0,127
108,2nd,43598,"9-2, 9-3",DP,3,3,60,17.3,6,2.883333333,0,127
108,2nd,43598,"9-2, 9-3",DP,3,4,60,10.1,5,2.02,0,127
108,2nd,43598,"9-2, 9-3",DP,3,5,60,4,3,1.333333333,1,127
108,2nd,43598,"9-2, 9-3",DP,3,6,60,13.7,5,2.74,0,127
108,2nd,43598,"9-2, 9-3",DP,3,7,60,5,3,1.666666667,1,127
108,2nd,43598,"9-2, 9-3",DP,3,8,60,2.3,2,1.15,1,127
108,2nd,43598,"9-2, 9-3",DP,3,9,60,18,7,2.571428571,0,127
108,2nd,43598,"9-2, 9-3",DP,3,10,60,4.5,4,1.125,1,127
108,2nd,43598,"9-2, 9-3",DP,2,11,60,19.2,5,3.84,0,116
108,2nd,43598,"9-2, 9-3",DP,2,12,60,5.7,4,1.425,1,116
108,2nd,43598,"9-2, 9-3",DP,2,13,60,3.6,3,1.2,1,116
108,2nd,43598,"9-2, 9-3",DP,2,14,60,16.7,6,2.783333333,0,116
108,2nd,43598,"9-2, 9-3",DP,2,15,60,5.2,3,1.733333333,1,116
108,2nd,43598,"9-2, 9-3",DP,2,16,60,8.6,4,2.15,1,116
108,2nd,43598,"9-2, 9-3",DP,2,17,60,6.9,4,1.725,1,116
108,2nd,43598,"9-2, 9-3",DP,2,18,60,4,2,2,0,116
108,2nd,43598,"9-2, 9-3",DP,2,19,60,10,4,2.5,1,116
108,2nd,43598,"9-2, 9-3",DP,2,20,60,0.9,2,0.45,0,116
108,2nd,43598,"9-2, 9-3",DP,1,21,60,10.7,4,2.675,0,112
108,2nd,43598,"9-2, 9-3",DP,1,22,60,17.2,5,3.44,0,112
