"date","cultivar","location","season","cutting_height","replication","tea_buds_cm","leaf_number","avg_inter_node","open_plane","buds_weight_100","sample_label"
"43958","台茶8號","11-2","第二水",65,"28",8,5,1.6,1,133.3,"茶菁3"
"43958","台茶8號","11-2","第二水",65,"29",11.4,4,2.85,0,133.3,"茶菁3"
"43958","台茶8號","11-2","第二水",65,"30",6.1,3,2.03333333333333,0,133.3,"茶菁3"
"43969","台茶18號","15區","第二水",60,"1",6,3,2,0,154.3,"茶菁1"
"43969","台茶18號","15區","第二水",60,"2",19.5,7,2.78571428571429,0,154.3,"茶菁1"
"43969","台茶18號","15區","第二水",60,"3",6.7,3,2.23333333333333,0,154.3,"茶菁1"
"43969","台茶18號","15區","第二水",60,"4",12.5,6,2.08333333333333,0,154.3,"茶菁1"
"43969","台茶18號","15區","第二水",60,"5",2.4,2,1.2,0,154.3,"茶菁1"
"43969","台茶18號","15區","第二水",60,"6",9.1,5,1.82,0,154.3,"茶菁1"
"43969","台茶18號","15區","第二水",60,"7",3.7,3,1.23333333333333,1,154.3,"茶菁1"
"43969","台茶18號","15區","第二水",60,"8",10.6,4,2.65,0,154.3,"茶菁1"
"43969","台茶18號","15區","第二水",60,"9",13,4,3.25,0,154.3,"茶菁1"
"43969","台茶18號","15區","第二水",60,"10",19.3,7,2.75714285714286,0,154.3,"茶菁1"
"43969","台茶18號","15區","第二水",60,"11",15.1,6,2.51666666666667,0,173.7,"茶菁2"
"43969","台茶18號","15區","第二水",60,"12",15.8,6,2.63333333333333,0,173.7,"茶菁2"
"43969","台茶18號","15區","第二水",60,"13",9.8,5,1.96,0,173.7,"茶菁2"
"43969","台茶18號","15區","第二水",60,"14",11.6,4,2.9,0,173.7,"茶菁2"
"43969","台茶18號","15區","第二水",60,"15",22.7,7,3.24285714285714,0,173.7,"茶菁2"
"43969","台茶18號","15區","第二水",60,"16",10.2,6,1.7,0,173.7,"茶菁2"
"43969","台茶18號","15區","第二水",60,"17",6.7,4,1.675,0,173.7,"茶菁2"
"43969","台茶18號","15區","第二水",60,"18",17.7,7,2.52857142857143,0,173.7,"茶菁2"
"43969","台茶18號","15區","第二水",60,"19",7.4,3,2.46666666666667,0,173.7,"茶菁2"
"43969","台茶18號","15區","第二水",60,"20",10.7,5,2.14,0,173.7,"茶菁2"
"43969","台茶18號","15區","第二水",60,"21",10.4,6,1.73333333333333,0,193.5,"茶菁3"
"43969","台茶18號","15區","第二水",60,"22",6.6,4,1.65,0,193.5,"茶菁3"
"43969","台茶18號","15區","第二水",60,"23",21.6,8,2.7,0,193.5,"茶菁3"
"43969","台茶18號","15區","第二水",60,"24",6.4,4,1.6,0,193.5,"茶菁3"
"43969","台茶18號","15區","第二水",60,"25",14.2,6,2.36666666666667,0,193.5,"茶菁3"
"43969","台茶18號","15區","第二水",60,"26",14.7,6,2.45,0,193.5,"茶菁3"
"43969","台茶18號","15區","第二水",60,"27",10.9,4,2.725,0,193.5,"茶菁3"
"43969","台茶18號","15區","第二水",60,"28",11.4,5,2.28,0,193.5,"茶菁3"
"43969","台茶18號","15區","第二水",60,"29",13.2,5,2.64,0,193.5,"茶菁3"
"43969","台茶18號","15區","第二水",60,"30",15.1,6,2.51666666666667,0,193.5,"茶菁3"
"43976","台茶12號","6區","第三水",57,"1",12.1,6,2.01666666666667,0,72.1,"茶菁1"
"43976","台茶12號","6區","第三水",57,"2",9.3,4,2.325,0,72.1,"茶菁1"
"43976","台茶12號","6區","第三水",57,"3",9.5,4,2.375,0,72.1,"茶菁1"
"43976","台茶12號","6區","第三水",57,"4",14.3,7,2.04285714285714,0,72.1,"茶菁1"
"43976","台茶12號","6區","第三水",57,"5",10,5,2,0,72.1,"茶菁1"
"43976","台茶12號","6區","第三水",57,"6",7.2,3,2.4,0,72.1,"茶菁1"
"43976","台茶12號","6區","第三水",57,"7",8.5,6,1.41666666666667,0,72.1,"茶菁1"
"43976","台茶12號","6區","第三水",57,"8",11.1,6,1.85,0,72.1,"茶菁1"
