"","year","season","date","location","cultivar","sample_label","replication","cutting_height","tea_buds_cm","leaf_number","avg_inter_node","open_plane","buds_weight_100"
"93",109,"2nd","43943","10_1","DP",3,25.5,56,10.69,3.8,15.306666668,0,102.1
"94",109,"2nd","43958","11_2","T8",1,5.5,65,9.08,4.4,15.491666667,0.6,147
"95",109,"2nd","43958","11_2","T8",2,15.5,65,7.3,4.2,16.033333334,0.6,113.5
"96",109,"2nd","43958","11_2","T8",3,25.5,65,7.36,4,16.683333334,0.6,133.3
"97",109,"2nd","43969","15","T18",1,5.5,60,10.28,4.4,15.9142857142,0.1,154.3
"98",109,"2nd","43969","15","T18",2,15.5,60,12.77,5.3,12.1142857142,0,173.7
"99",109,"2nd","43969","15","T18",3,25.5,60,12.45,5.4,11.65,0,193.5
"100",109,"3rd","43976","6","T12",1,5.5,57,9.22,4.8,12.8792857143,0,72.1
"101",109,"3rd","43976","6","T12",2,15.5,57,8.93,4.1,15.2,0,76
"102",109,"3rd","43976","6","T12",3,25.5,57,8.03,3.9,15.295,0,64.3
"103",109,"3rd","43984","5","FS",1,5.5,59,10.73,4.8,12.6428571429,0.1,127.2
"104",109,"3rd","43984","5","FS",2,15.5,59,11.04,4.3,14.1600000003,0,131
"105",109,"3rd","43984","5","FS",3,25.5,59,9.71,4.4,14.5533333333,0.1,111.5
"106",109,"3rd","43991","2-4,5,6","DP",1,5.5,57,10.24,3.6,16.815,0,81.6
"107",109,"3rd","43991","2-4,5,6","DP",2,15.5,57,11.78,3.4,17.575,0,93.7
"108",109,"3rd","43991","2-4,5,6","DP",3,25.5,57,8.94,3.2,18.715,0,80.9
"109",109,"3rd","44005","12","T18",1,5.5,60,9.16,4.3,14.3,0,117.1
"110",109,"3rd","44005","12","T18",2,15.5,60,7.55,3.8,16.5,0.1,101.4
"111",109,"3rd","44005","12","T18",3,25.5,60,8.96,4,17.4,0.3,119.2
"112",109,"3rd","44012","10_2","T8",1,5.5,65,8.87,4,18.091666667,0.2,163.9
"113",109,"3rd","44012","10_2","T8",2,15.5,65,9.58,3.9,18.091666667,0.3,153.7
"114",109,"3rd","44012","10_2","T8",3,25.5,65,9.13,4,16.683333334,0.5,149.6
"115",109,"4th","44035","7","T12",1,5.5,58,9.32,4.3,15.9085714283,0.2,100.8
"116",109,"4th","44035","7","T12",2,15.5,58,10.46,4.7,13.6852380953,0.1,98.3
"117",109,"4th","44035","7","T12",3,25.5,58,8.06,3.8,17.1099999984,0.1,92.5
"118",109,"4th","44042","2-4,5,6","DP",1,5.5,56,5.71,3.2,19.320000001,0,54.7
"119",109,"4th","44042","2-4,5,6","DP",2,15.5,56,7.9,3.7,16.053333334,0,62.5
"120",109,"4th","44042","2-4,5,6","DP",3,25.5,56,6.52,3.6,16.520000001,0.1,51.4
"121",109,"4th","8/11¡B8/12","12","T18",1,5.5,63,5.62,3.6,19.32,0.1,104.2
"122",109,"4th","8/11¡B8/12","12","T18",2,15.5,63,8.12,4.5,14.385,0.3,114
"123",109,"4th","8/11¡B8/12","12","T18",3,25.5,63,8.02,4.3,15.435,0.3,99.3
"124",109,"5th","44084","5","FS",1,5.5,58,8.79,5,12.041904762,0.5,106.6
"125",109,"5th","44084","5","FS",2,15.5,58,7.33,4.3,14.209999999,0.3,121.9
"126",109,"5th","44084","5","FS",3,25.5,58,7.01,4.6,13.781904761,0.6,116
