month,DAY,MEAN.TEMP,HIGH,LOW,HEAT.DEG.DAYS,COOL.DEG.DAYS,RAIN,SPEED,HIGH.1,RH%,SOLAR RAD(H),SOLAR RAD(MJ/M2)
2019April,11,27.2,34.4,20.6,0,8.9,0,0.4,5.4,70,9.9,22.46
2019April,12,25,30.8,21.1,0,6.7,0,0.4,4.5,79,4,9.2
2019April,13,25.6,30.7,21.6,0,7.3,0,0.3,4,73.1,3.9,11.87
2019April,14,27.2,32.9,21.6,0,8.9,0,0.3,4.9,68.8,6.2,14.69
2019April,15,25.6,30.1,23,0,7.3,0,0.2,6.3,77.6,1.8,7.78
2019April,16,23.2,25,20.8,0,4.9,23.4,0.4,5.4,88.4,0,2.64
2019April,17,25.2,32.8,21,0,6.9,0,0.4,5.8,79.5,5.3,18.34
2019April,18,26.7,33.3,21.1,0,8.4,0,0.3,4.5,70.9,7.8,22.5
2019April,19,24.4,32.1,21.1,0,6.1,45.7,0.6,8.5,84.1,3.1,11.64
2019April,20,26.6,33.3,21.3,0,8.3,0.3,0.3,5.4,71.5,3.6,12.11
2019April,21,25.9,32.7,23.5,0,7.6,7.1,0.3,4,82,4,11.98
2019April,22,27.4,32.8,22.4,0,9.1,0.3,0.2,3.1,80.7,5.4,15.25
2019April,23,28.3,34.4,23,0,10,0,0.4,3.6,74.8,7.4,19.03
2019April,24,28.1,34.5,22.3,0,9.8,0,0.3,4.9,75.2,9.4,22.65
2019April,25,27.7,35,20.9,0,9.4,0,0.4,5.8,68.6,10.6,25.62
2019April,26,27.4,34.8,21.6,0,9.1,0,0.3,4.9,71.8,7.4,17.34
2019April,27,27.1,32.7,23.2,0,8.8,0,0.2,4,80.4,3.6,10.68
2019April,28,27.8,34.3,23.3,0,9.5,0,0.3,4.9,77,4.8,13.64
2019April,29,28.5,35.3,22.9,0,10.2,0,0.3,5.4,73.3,9.9,24.17
2019April,30,28.5,34.8,23.2,0,10.2,0,0.4,4.9,71.4,9.4,23.78
2019May,1,24.7,28.7,22.1,0,6.4,66,0.3,5.8,91.3,0.1,4.5
2019May,2,23.7,28.5,21.1,0,5.4,7.9,0.1,3.6,91,0.5,4.8
2019May,3,23.4,27.6,21.2,0,5.2,0.8,0,4,86.8,1.8,6.9
2019May,4,22.8,25.9,21.2,0,4.5,11.9,0.1,3.6,91.3,0.9,5.6
2019May,5,24,30.1,20.3,0,5.7,5.6,0.2,4,85.5,3,11.2
2019May,6,22.5,23.9,21.6,0,4.2,64.5,0.1,4,95.8,0,2.8
2019May,7,23.1,27.6,21.3,0,4.8,23.6,0.1,4.9,92.9,0.6,5.5
2019May,8,24.2,30.1,20.8,0,5.9,1.3,0.2,4.9,86.1,2.2,10.1
2019May,9,25.9,32.1,22.2,0,7.6,1.8,0.2,4,80.5,3.7,15.8
2019May,10,26,30.1,23.9,0,7.7,0.5,0.1,4,87.8,1.3,7
2019May,11,27.4,34.2,22.8,0,9.1,0,0.3,5.8,80.1,4,16.8
2019May,12,28,34.7,22.9,0,9.7,0,0.3,4,78.6,6.4,16.9
2019May,13,28.6,36.6,23.1,0,10.2,0,0.2,4.9,74.7,6.5,19.8
2019May,14,29.3,36.2,23.2,0,11,0,0.3,4,72.9,8.5,24.2
2019May,15,27.7,31.8,24.6,0,9.4,19.6,0.1,2.7,84.9,3.4,10.5
2019May,16,27.6,32.7,24.1,0,9.2,2.8,0.4,8.5,83.3,5.3,16.3
2019May,17,27.9,32.5,25.2,0,9.6,1.5,0.3,4,79.2,3.4,14.1
2019May,18,27.6,31.3,25.1,0,9.3,14,0.4,4.5,86.8,1.8,9.1
2019May,19,28,32.4,25.1,0,9.7,0.5,0.2,4,86.2,3.4,11.3
2019May,20,25.8,31.3,22.1,0,7.5,83.6,0.3,11.2,88.6,1.2,6.8
2019May,21,24.2,27.1,22.8,0,5.9,9.7,0,2.7,95.2,0.2,2.4
2019May,22,25.7,32.3,22.9,0,7.4,0,0.1,3.6,85.8,3,12.3
2019May,23,25.9,30.8,23.2,0,7.6,8.6,0.2,3.1,83.6,1.8,10
2019May,24,24.9,31.2,22,0,6.6,56.4,0.4,8,89.2,2,8.1
2019May,25,25.9,33.1,21.2,0,7.6,4.3,0.4,6.3,85.2,5,13.8
2019May,26,28.1,35.7,22.9,0,9.8,0,0.1,3.1,75.6,5.7,18.4
2019May,27,27.3,31.5,24.7,0,9,0.3,0.1,4.5,82.1,1.6,8.4
2019May,28,27.6,32.8,24.3,0,9.3,7.6,0.2,5.8,85.2,4.3,15.7
2019May,29,26.1,31.2,24.1,0,7.8,31.8,0.3,7.6,89,2.4,11.4
2019May,30,26.7,32.3,23.4,0,8.4,9.4,0.3,4.5,85.8,3.6,11.3
2019May,31,26.8,33.9,23.2,0,8.5,44.5,0.2,6.3,84.6,4.8,16.2
2019June,1,28.2,34.4,23.9,0,9.9,1,0.3,5.4,81.7,6.3,26.51
2019June,2,28.9,35.1,24.7,0,10.6,0.3,0.2,4.5,75.1,5.3,17.92
2019June,3,29.5,35.9,23.4,0,11.2,0,0.3,4.5,67.5,7.8,21.38
2019June,4,25.8,30.8,23.7,0,7.6,8.4,0.1,4,87.2,1,4.41
2019June,5,28.3,35.3,23.1,0,10.1,0,0.2,6.7,79,4.5,17.26
2019June,6,30.4,36.9,24.1,0,12.1,0,0.4,5.4,74,6.8,27.73
2019June,7,30.2,36.1,24.6,0,11.9,0,0.3,4,76.5,7,22.22
2019June,8,29.7,35.8,24.5,0,11.4,0,0.3,4.9,74.8,7.2,22.87
2019June,9,29.1,34.9,24.2,0,10.8,0.8,0.3,4.9,75.2,6,18.32
2019June,10,27.9,36.5,24.2,0,9.6,42.7,0.2,5.8,82.8,4.7,15.87
2019June,11,25.7,30.7,24.2,0,7.4,51.1,0.4,7.2,92.8,0.4,4.51
2019June,12,26.5,31.1,24.4,0,8.2,40.9,0.1,4,91.8,0.6,7.07
2019June,13,28,33.4,25.1,0,9.7,37.3,0.4,7.6,88.4,3.9,16.8
2019June,14,26.9,32.1,24.8,0,8.7,87.9,0.6,6.3,90.2,1.5,8.47
2019June,15,28.5,34.6,24.4,0,10.2,0,0.2,4.9,80,4.9,18.53
